Date,Hospital,State,Daily,Blood_a,Blood_b,Blood_o,Blood_ab,Location_centre,Location_mobile,Type_wholeblood,Type_apheresis_platelet,Type_apheresis_plasma,Type_other,Social_civilian,Social_student,Social_policearmy,Donations_new,Donations_regular,Donations_irregular
1/1/2020,Hospital Sultanah Nora Ismail,Johor,5,2,1,2,0,5,0,5,0,0,0,5,0,0,1,4,0
1/1/2020,Hospital Sultanah Aminah,Johor,86,15,25,35,11,37,49,86,0,0,0,78,8,0,18,48,20
1/1/2020,Hospital Sultanah Bahiyah,Kedah,112,29,34,37,12,27,85,112,0,0,0,66,44,2,20,79,13
1/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,15,2,6,5,2,15,0,15,0,0,0,8,6,1,2,11,2
1/1/2020,Hospital Melaka,Melaka,123,30,30,53,10,0,123,123,0,0,0,108,12,3,29,66,28
1/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,109,27,28,40,14,0,109,109,0,0,0,82,27,0,33,52,24
1/1/2020,Hospital Tengku Ampuan Afzan,Pahang,85,29,20,29,7,0,85,85,0,0,0,74,9,2,24,43,18
1/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,49,13,13,21,2,0,49,0,0,0,49,47,2,0,11,28,10
1/1/2020,Hospital Seberang Jaya,Pulau Pinang,29,6,8,12,3,0,29,29,0,0,0,27,1,1,4,21,4
1/1/2020,Hospital Pulau Pinang,Pulau Pinang,31,6,13,11,1,31,0,28,3,0,0,29,2,0,5,21,5
1/1/2020,Hospital Raja Permaisuri Bainun,Perak,88,25,24,37,2,0,88,88,0,0,0,78,8,2,14,61,13
1/1/2020,Hospital Taiping,Perak,10,4,1,5,0,0,10,10,0,0,0,10,0,0,3,5,2
1/1/2020,Hospital Seri Manjung,Perak,57,17,14,19,7,0,57,57,0,0,0,6,50,1,42,11,4
1/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,166,38,48,71,9,0,166,166,0,0,0,137,27,2,48,78,40
1/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,12,4,3,5,0,12,0,12,0,0,0,12,0,0,1,11,0
1/1/2020,Hospital Queen Elizabeth II,Sabah,22,5,9,8,0,0,22,22,0,0,0,19,3,0,9,8,5
1/1/2020,Hospital Duchess Of Kent,Sabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2020,Hospital Tawau,Sabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2020,Hospital Umum Sarawak,Sarawak,173,39,49,69,16,0,173,173,0,0,0,169,4,0,10,149,14
1/1/2020,Hospital Miri,Sarawak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2020,Hospital Sibu,Sarawak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),474,127,118,205,24,108,366,456,11,7,0,412,50,12,76,296,102
2/1/2020,Hospital Sultanah Nora Ismail,Johor,11,5,1,5,0,11,0,11,0,0,0,11,0,0,2,8,1
2/1/2020,Hospital Sultanah Aminah,Johor,86,22,28,32,4,16,70,86,0,0,0,79,6,1,24,44,18
